References,Vegetation,Local,Family,Specie,N,P,K,Ca,Mg,Fe,Mn
"Ribeiro, J.F. (1983)",cerrado,"CPAC, EMBRAPA",1.21,Qualea parviflora Mart.,12.1,0.56,3.7,5.3,1.9,112,194
"Ribeiro, J.F. (1983)",cerrado,"CPAC, EMBRAPA",1.31,Qualea grandiflora Mart.,13.1,0.67,4.2,5,2,118,118
"Ribeiro, J.F. (1983)",cerrado,"CPAC, EMBRAPA",1.56,Annona crassiflora Mart.,15.6,0.76,5.4,6.4,1.7,77,82
"Ribeiro, J.F. (1983)",cerrado,"CPAC, EMBRAPA",1.39,Caryocar brasiliense A.St.-Hil.,13.9,0.72,2.9,5.2,2.3,153,60
"Ribeiro, J.F. (1983)",cerrado,"CPAC, EMBRAPA",2.62,Dimorphandra mollis Benth.,26.2,0.4,3,1.5,1,184,18
"Ribeiro, J.F. (1983)",cerrado,"CPAC, EMBRAPA",1.03,Kielmeyera coriacea Mart.,10.3,0.62,5.3,4.9,1.7,62,23
"Ribeiro, J.F. (1983)",cerrado,"CPAC, EMBRAPA",1.46,Vochysia rufaMart.,14.6,0.78,3.9,3.2,2.1,79,90
"Ribeiro, J.F. (1983)",cerrado,"CPAC, EMBRAPA",1.71,Terminalia brasiliensis (Cambess. ex A. St.-Hil.) Eichler,17.1,0.85,4.2,8.2,3.1,92,133
"Ribeiro, J.F. (1983)",cerrado,"CPAC, EMBRAPA",1.47,Erythroxylum deciduum A.St.-Hil.,14.7,0.69,3.3,6.7,2.4,66,51
"Ribeiro, J.F. (1983)",cerrado,"CPAC, EMBRAPA",1.47,Strychnos pseudoquina A. St.-Hil.,14.7,0.64,4,6.6,2.9,139,388
"Ribeiro, J.F. (1983)",cerrado,"CPAC, EMBRAPA",1.57,Sclerolobium aureum (Tul.) Baill.,15.7,0.58,4.7,2,0.9,108,76
"Ribeiro, J.F. (1983)",cerrado,"CPAC, EMBRAPA",Vochysiaceae,Qualea parviflora Mart.,18.5,1.35,8.2,10,3.2,194,61
